smiles,ee
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(cccc1)Cl)c1ccc(cc1)C.[Cl-].ClCCl,92
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(cccc1)Cl)c1ccc(cc1)OC.[Cl-].ClCCl,93
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(cccc1)C)c1ccc(cc1)C.[Cl-].ClCCl,91
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(cccc1)C)c1ccc(cc1)OC.[Cl-].ClCCl,94
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(c(ccc1)C(F)(F)F)Cl)c1ccc(cc1)C.[Cl-].ClCCl,92
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(ccc(c1)Cl)Cl)c1ccc(cc1)C.[Cl-].ClCCl,72
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(cccc1Cl)Cl)c1ccc(cc1)C.[Cl-].ClCCl,81
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(ccc(c1)Cl)C)c1ccc(cc1)OC.[Cl-].ClCCl,74
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1ccccc1)(/c1ccccc1)\C.ClCCl,93
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1ccccc1)(/c1ccc(cc1)OC)\C.ClCCl,92
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1ccccc1)(/c1ccc(cc1)Cl)\C.ClCCl,94
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1ccccc1)(/c1ccc(cc1)N(=O)=O)\C.ClCCl,93
c1(cc2c(c3c1op(oc1c3c3ccccc3cc1C)N(C)[C@H](c1ccccc1P(c1ccccc1)c1ccccc1)C)cccc2)C.C(=N\c1ccccc1)(/c1cccc(c1)N(=O)=O)\C.ClCCl,97
